L1 Norm,Linf Norm
2.095156838422663,347.97431999119027
2.06787117803237,349.5036559143964
1.7178389446482938,211.26816699994032
1.7060086585269254,210.4102459142012
1.8751233539244707,298.40639313606937
1.673092689850751,188.8181090279972
1.6740189039342543,211.04649340066348
1.6862656223016628,219.4350940355525
1.5648937928592457,159.41167034903134
1.5889614103429457,172.149191524371
1.7504194191539988,250.27594509663305
1.7729880620844225,266.8573089449714
1.6004348811654483,175.93962599779016
1.5263442845625037,147.13855723453972
1.618038858133204,182.3635824035869
1.6739894217547249,212.9951384079877
1.5807587708080515,155.69572024245542
1.6828461625379674,222.02921881673475
1.6039476337657257,177.24652724860695
1.636643615245819,200.64674283881467
1.6769243727179135,217.51059335440468
1.717083512104259,232.65575756548716
1.6073289560149695,180.11076066786822
1.6633811099332922,212.22923775024412
1.6735434727837055,215.31494580618917
1.7064262989717371,214.05476756726432
1.6237115299224854,177.24182539434997
1.6010811074986178,158.6243591013179
1.717978693300135,214.47783685252244
1.6660506493400125,197.1651219697616
1.6646024629480698,185.645822064568
1.850068085378759,291.51117886139366
1.7871432876138127,259.39045130964166
1.6821780670614803,214.6681430578456
1.585086643555585,171.7725591681312
1.6959176273794736,223.0983995562385
1.6087082059299245,176.62587827421075
1.6341533715696897,200.67491012245628
1.6481583997838638,184.17547985978968
1.7213551735485302,238.8502234731001
1.6679049987119787,206.7773902329052
1.6870150445152732,213.3477724172256
1.601483043199427,183.99779863011975
1.718444417515923,243.16786771018084
1.6991019177605124,228.31127815918643
1.7918758097031535,276.90734564208987
1.5851484449330495,173.78149091212327
1.687782252771714,223.50365077730063
1.897215389285368,321.3369506582597
1.7623191203285666,240.1408323332394
1.6611022756239948,206.9132811540267
1.6774999501621022,205.68307636315964
1.6409691598499525,185.08243079138364
1.6276855621281792,181.14725272559
1.633509444326513,189.23409455486745
1.6448799841263717,202.36018942303377
1.667906429941514,194.0359548151577
1.6792619307237513,207.50921581425385
1.5960011063856236,177.99015957129984
1.7768462710212258,257.1189767296623
1.807471593733395,276.86311177351337
1.6932370624878827,220.92371768884095
1.6269373370787676,189.48485655008204
1.6768020983639886,211.48040768550425
1.694776402978336,219.10268913937736
1.6872943481333116,214.81003707748863
1.79810668778139,271.2925565790962
1.7565458266089944,249.87121385569853
1.7282309551575603,227.23229545635897
1.7131045341940487,225.80164154122295
1.7953652747434727,264.0633615519131
1.7607559412787943,254.0364400623546
1.678819810407302,216.65147766948027
1.703756042878768,223.30981224175625
1.6529782421785242,192.6590561584248
1.714954735172496,221.13121619939244
1.6727482585906983,199.15743406802903
1.729981446322273,234.34152593994145
1.708484605699427,222.93201180523144
1.729132487555111,222.24690065484887
1.7637960416120642,234.24513289550333
1.84784469315024,286.2421859821544
1.7941972742641674,260.0931215561698
1.7137745012619916,204.48510839830288
1.7350429644191967,223.74387339163388
1.8566536795447852,283.18754412949505
1.755994125254014,229.3101963644813
1.7601158244132995,238.18547265912224
1.6866389458488016,202.908080274178
1.85034408715192,272.7636952412437
1.9023372227612665,302.131574491254
1.83110588612276,269.6114335820366
1.8001470633114085,241.9293748705696
1.8772832767262175,280.43135554970013
1.8227651595620549,259.16320643605627
1.8313896484935983,267.70442568200053
1.692703839964025,195.451835011011
1.827410952870986,264.21763062986486
1.8119655786738675,246.21164102327683
1.8664851270787857,289.80821058190287
1.8701409589318667,287.9503977514716
1.8294562440086812,264.1351442619997
1.9652519310895131,320.76777057304383
1.8303036749671489,262.1900948417888
1.88964653114992,293.0866244985693
1.9579745084650375,324.07518991043986
1.869543831847696,284.6377877252916
1.824028064660465,264.4039107082592
1.8154235586166385,250.44302952610465
1.8251623680114744,262.3893898665933
1.8082491125106808,260.0133037338257
1.718522292956184,213.6306736816182
1.7725289774053237,245.90959652671813
1.972415986700619,341.230165705894
1.7895914963105146,238.97672421998416
1.8035206852071424,243.73863408163857
1.8065454602634208,259.30907312287724
1.9171123354070327,317.1302543612985
1.8056080433340636,259.1913929660685
1.8277878213545853,270.03259278116786
1.7413569261438706,224.32546402951408
1.7935112885194666,254.7727270603068
1.810463028571185,255.71021026041367
1.783259230400534,246.57359525864544
1.7045626569411334,203.29674973086188
1.9066105779647824,288.5199778315544
1.701949158073874,206.64520228917735
1.7974856991487391,251.70213686316995
1.7859608947753909,246.73965156361075
2.011393041969748,357.0247582941392
1.8259260461021871,267.592271400878
1.9329055774239932,321.0358301463632
1.868214479940078,282.3477446563384
1.7937208094035877,243.11744552456352
1.9638854821822225,323.66734291619696
1.9244031210955448,309.2711338463615
1.9217345999773807,308.2406068017511
1.8114752705293544,251.3869584465476
1.8007800114575554,242.00570067383265
1.8760090777677647,288.73452741757563
1.881800087794136,259.5229736170152
1.8547626071873835,266.5017369028092
1.8073446136699003,241.2899707551844
1.8864767045413744,278.24388183144964
1.8881304954641005,294.9312892082214
1.8209343118892,257.05147596590376
1.8555113785463224,273.3284687807756
1.8720980138217704,286.65050136318206
1.9176108208151423,302.18249697647093
1.7020897795733283,184.6415735462862
1.891350615983851,291.5387395426806
1.9044888367821189,299.76742005693774
1.8360368056241203,266.1471959686728
1.8256372887106505,259.00053858820974
1.942435826267916,317.7149712827458
1.994039238839991,344.0018615932689
1.8823272236094757,286.79025580830296
1.8881882359785191,291.2743822280884
1.766948549708198,230.11603169465903
1.8621244426278507,271.7572148354474
2.0128461398629582,352.34038013886845
1.9083533283009249,283.2501328581866
1.8810824029473696,252.62701778246932
1.939538670528636,306.6213815893734
1.98037135366552,324.58091678142546
1.9534889434814453,309.82269868989835
2.098324089083952,386.4782144843831
